time,ax,ay,az,aT
0.946000,-1.0513,0.5350,-0.2438,1.205
0.958000,-1.1033,0.7042,-0.4216,1.375
0.959000,-0.8607,0.7406,-0.6877,1.327
0.986000,-0.5830,0.6827,-0.6810,1.127
0.987000,-0.3865,0.5432,-0.4218,0.789
0.988000,-0.2445,0.3192,-0.2004,0.449
0.988000,-0.0563,0.0546,-0.0919,0.121
0.989000,0.1612,-0.1275,-0.0303,0.208
0.989000,0.2717,-0.2417,0.1520,0.394
0.991000,0.2736,-0.2643,0.3246,0.500
0.998000,0.2388,-0.2899,0.3229,0.495
1.001000,0.1474,-0.2907,0.3182,0.455
1.006000,-0.0421,-0.2234,0.4465,0.501
1.012000,-0.2471,-0.0930,0.5360,0.597
1.018000,-0.3583,-0.0466,0.4865,0.606
1.021000,-0.4815,0.0965,0.4307,0.653
1.026000,-0.5420,0.2290,0.3502,0.685
1.032000,-0.4245,0.3572,0.3055,0.633
1.036000,-0.1356,0.4127,0.3399,0.552
1.042000,-0.1605,0.4680,0.6084,0.784
1.057000,-0.3166,0.5160,0.6930,0.920
1.058000,-0.4561,0.4907,0.7101,0.976
1.059000,-0.4297,0.3170,0.5987,0.802
1.061000,-0.2502,0.2599,0.5128,0.627
1.084000,-0.0611,0.2558,0.6699,0.720
1.085000,-0.0258,0.1551,0.9479,0.961
1.085000,-0.0659,-0.0243,0.8462,0.849
1.086000,0.1051,-0.1757,0.3550,0.410
1.087000,0.2527,-0.2005,0.3249,0.458
1.093000,0.4858,-0.2497,0.7301,0.912
1.099000,0.8128,-0.3992,0.8490,1.241
1.103000,0.9915,-0.4447,0.9490,1.443
1.108000,1.0824,-0.4944,0.9467,1.521
1.113000,1.1048,-0.5144,0.7358,1.424
1.118000,0.9407,-0.5287,0.4885,1.185
1.123000,0.8056,-0.4738,0.3884,1.012
1.128000,0.6914,-0.3685,0.2102,0.811
1.133000,0.6877,-0.2597,0.0458,0.737
1.138000,0.5068,-0.1854,-0.1639,0.564
1.143000,0.4186,-0.1271,-0.2583,0.508
1.149000,0.4939,-0.0347,0.0362,0.496
1.153000,0.7673,-0.1038,0.0219,0.775
1.159000,0.9463,-0.2580,-0.0159,0.981
1.166000,0.8769,-0.3124,0.0143,0.931
1.168000,0.6796,-0.2995,0.0528,0.745
1.174000,0.3479,-0.1440,0.1309,0.399
1.179000,-0.0070,0.0928,-0.1577,0.183
1.194000,0.0411,0.5358,-0.0158,0.538
1.195000,0.0524,0.8653,0.1906,0.888
1.196000,-0.0191,0.9053,0.1548,0.919
1.226000,0.0996,1.0416,0.1902,1.063
1.228000,0.2106,1.0800,0.0773,1.103
1.228000,0.0934,0.7311,-0.2278,0.771
1.229000,0.0723,1.0998,0.1320,1.110
1.230000,0.2940,1.6749,0.2501,1.719
1.231000,0.5373,0.8020,-0.1912,0.984
1.232000,0.7856,0.2988,-0.1423,0.853
1.241000,1.1242,0.7283,-0.3421,1.383
1.242000,1.5177,0.5302,-0.3876,1.654
1.245000,1.5808,0.2202,-0.3862,1.642
1.254000,1.4414,0.0659,-0.4898,1.524
1.256000,1.3760,0.0195,-0.5082,1.467
1.260000,1.3268,0.0607,-0.5657,1.444
1.266000,1.2602,0.1690,-0.4184,1.339
1.269000,1.1223,0.2963,-0.4272,1.237
1.275000,1.0053,0.3315,-0.5230,1.181
1.280000,0.9262,0.3733,-0.6331,1.182
1.292000,0.8952,0.3950,-0.6326,1.165
1.293000,0.7825,0.3694,-0.6692,1.094
1.295000,0.6247,0.3785,-0.6384,0.970
1.316000,0.4801,0.4130,-0.6449,0.904
1.317000,0.3018,0.3940,-0.6305,0.802
1.317000,0.1845,0.3722,-0.5901,0.722
1.318000,0.0322,0.3570,-0.6045,0.703
1.320000,-0.1323,0.2833,-0.7248,0.789
1.325000,-0.1461,0.1669,-0.6287,0.667
1.330000,-0.1624,0.0235,-0.5079,0.534
1.336000,-0.2395,-0.1782,-0.5690,0.643
1.341000,-0.3260,-0.3975,-0.7858,0.939
1.346000,-0.4786,-0.4905,-0.7847,1.042
1.351000,-0.5531,-0.5217,-0.6354,0.991
1.356000,-0.6019,-0.5137,-0.6684,1.036
1.361000,-0.5572,-0.5925,-0.8073,1.146
1.367000,-0.4642,-0.7029,-0.7187,1.107
1.371000,-0.3240,-0.8551,-0.4344,1.012
1.376000,-0.1880,-1.1785,-0.1490,1.203
1.383000,-0.1658,-1.5313,-0.1109,1.544
1.388000,-0.2950,-1.7303,-0.1272,1.760
1.391000,-0.3679,-1.7305,-0.0253,1.769
1.396000,-0.4691,-1.5404,0.0231,1.610
1.409000,-0.4755,-1.2750,-0.1898,1.374
1.411000,-0.4000,-1.0515,-0.2695,1.157
1.413000,-0.3143,-0.8640,0.0445,0.920
1.448000,-0.3212,-0.7044,0.0706,0.777
1.449000,-0.3663,-0.5796,-0.2465,0.729
1.450000,-0.5163,-0.4352,-0.3371,0.755
1.450000,-0.7123,-0.3310,-0.8507,1.158
1.451000,-0.7744,-0.2307,-0.8968,1.207
1.451000,-0.6905,-0.1284,-0.6291,0.943
1.452000,-0.6532,-0.0862,-0.5572,0.863
